timestamp,algorithm,structure,data_type,distribution,size,iterations,iteration_id,duration_us,min_us,avg_us,max_us
2026-05-12 01:55:48,cocktail,array,int,random,25000,50,33,1583961,,,
2026-05-12 01:55:50,cocktail,array,int,random,25000,50,34,1556859,,,
2026-05-12 01:55:52,cocktail,array,int,random,25000,50,35,1556291,,,
2026-05-12 01:55:53,cocktail,array,int,random,25000,50,36,1557458,,,
2026-05-12 01:55:55,cocktail,array,int,random,25000,50,37,1547054,,,
2026-05-12 01:55:56,cocktail,array,int,random,25000,50,38,1545824,,,
2026-05-12 01:55:58,cocktail,array,int,random,25000,50,39,1551989,,,
2026-05-12 01:55:59,cocktail,array,int,random,25000,50,40,1593779,,,
2026-05-12 01:56:01,cocktail,array,int,random,25000,50,41,1554432,,,
2026-05-12 01:56:02,cocktail,array,int,random,25000,50,42,1546578,,,
2026-05-12 01:56:04,cocktail,array,int,random,25000,50,43,1531848,,,
2026-05-12 01:56:06,cocktail,array,int,random,25000,50,44,1678720,,,
2026-05-12 01:56:07,cocktail,array,int,random,25000,50,45,1541486,,,
2026-05-12 01:56:09,cocktail,array,int,random,25000,50,46,1564528,,,
2026-05-12 01:56:10,cocktail,array,int,random,25000,50,47,1598949,,,
2026-05-12 01:56:12,cocktail,array,int,random,25000,50,48,1583554,,,
2026-05-12 01:56:14,cocktail,array,int,random,25000,50,49,1545016,,,
2026-05-12 01:56:15,cocktail,array,int,random,25000,50,50,1542640,,,
2026-05-12 01:56:21,cocktail,array,int,random,50000,50,1,6284261,,,
2026-05-12 01:56:28,cocktail,array,int,random,50000,50,2,6329209,,,
2026-05-12 01:56:34,cocktail,array,int,random,50000,50,3,6348909,,,
2026-05-12 01:56:40,cocktail,array,int,random,50000,50,4,6315713,,,
2026-05-12 01:56:47,cocktail,array,int,random,50000,50,5,6271558,,,
2026-05-12 01:56:53,cocktail,array,int,random,50000,50,6,6252299,,,
2026-05-12 01:56:59,cocktail,array,int,random,50000,50,7,6320777,,,
2026-05-12 01:57:05,cocktail,array,int,random,50000,50,8,6258971,,,
2026-05-12 01:57:12,cocktail,array,int,random,50000,50,9,6276209,,,
2026-05-12 01:57:18,cocktail,array,int,random,50000,50,10,6666464,,,
2026-05-12 01:57:26,cocktail,array,int,random,50000,50,11,7096414,,,
2026-05-12 01:57:32,cocktail,array,int,random,50000,50,12,6287182,,,
2026-05-12 01:57:38,cocktail,array,int,random,50000,50,13,6444746,,,
2026-05-12 01:57:45,cocktail,array,int,random,50000,50,14,6273308,,,
2026-05-12 01:57:51,cocktail,array,int,random,50000,50,15,6277659,,,
2026-05-12 01:57:57,cocktail,array,int,random,50000,50,16,6291132,,,
2026-05-12 01:58:03,cocktail,array,int,random,50000,50,17,6290231,,,
2026-05-12 01:58:10,cocktail,array,int,random,50000,50,18,6283799,,,
2026-05-12 01:58:16,cocktail,array,int,random,50000,50,19,6297565,,,
2026-05-12 01:58:22,cocktail,array,int,random,50000,50,20,6250413,,,
2026-05-12 01:58:29,cocktail,array,int,random,50000,50,21,6281264,,,
2026-05-12 01:58:35,cocktail,array,int,random,50000,50,22,6317548,,,
2026-05-12 01:58:41,cocktail,array,int,random,50000,50,23,6297002,,,
2026-05-12 01:58:47,cocktail,array,int,random,50000,50,24,6255263,,,
2026-05-12 01:58:54,cocktail,array,int,random,50000,50,25,6283482,,,
2026-05-12 01:59:00,cocktail,array,int,random,50000,50,26,6288790,,,
2026-05-12 01:59:06,cocktail,array,int,random,50000,50,27,6464212,,,
2026-05-12 01:59:13,cocktail,array,int,random,50000,50,28,6255415,,,
2026-05-12 01:59:19,cocktail,array,int,random,50000,50,29,6338974,,,
2026-05-12 01:59:25,cocktail,array,int,random,50000,50,30,6229359,,,
2026-05-12 01:59:32,cocktail,array,int,random,50000,50,31,6271088,,,
2026-05-12 01:59:38,cocktail,array,int,random,50000,50,32,6385704,,,
2026-05-12 01:59:44,cocktail,array,int,random,50000,50,33,6289908,,,
2026-05-12 01:59:51,cocktail,array,int,random,50000,50,34,6272192,,,
2026-05-12 01:59:57,cocktail,array,int,random,50000,50,35,6279225,,,
2026-05-12 02:00:03,cocktail,array,int,random,50000,50,36,6266488,,,
2026-05-12 02:00:09,cocktail,array,int,random,50000,50,37,6265255,,,
2026-05-12 02:00:16,cocktail,array,int,random,50000,50,38,6296020,,,
2026-05-12 02:00:22,cocktail,array,int,random,50000,50,39,6260754,,,
2026-05-12 02:00:28,cocktail,array,int,random,50000,50,40,6333375,,,
2026-05-12 02:00:35,cocktail,array,int,random,50000,50,41,6289633,,,
2026-05-12 02:00:41,cocktail,array,int,random,50000,50,42,6260587,,,
2026-05-12 02:00:47,cocktail,array,int,random,50000,50,43,6281851,,,
2026-05-12 02:00:53,cocktail,array,int,random,50000,50,44,6309449,,,
2026-05-12 02:01:00,cocktail,array,int,random,50000,50,45,6258829,,,
2026-05-12 02:01:06,cocktail,array,int,random,50000,50,46,6259060,,,
2026-05-12 02:01:12,cocktail,array,int,random,50000,50,47,6334423,,,
2026-05-12 02:01:19,cocktail,array,int,random,50000,50,48,6275252,,,
2026-05-12 02:01:25,cocktail,array,int,random,50000,50,49,6251086,,,
2026-05-12 02:01:31,cocktail,array,int,random,50000,50,50,6270393,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,1,788,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,2,769,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,3,746,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,4,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,5,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,6,761,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,7,748,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,8,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,9,747,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,10,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,11,746,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,12,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,13,741,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,14,779,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,15,743,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,16,746,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,17,741,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,18,745,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,19,750,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,20,747,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,21,740,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,22,746,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,23,741,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,24,757,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,25,745,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,26,744,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,27,747,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,28,744,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,29,743,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,30,749,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,31,745,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,32,741,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,33,747,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,34,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,35,745,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,36,745,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,37,744,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,38,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,39,745,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,40,741,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,41,751,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,42,746,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,43,752,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,44,742,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,45,747,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,46,743,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,47,744,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,48,745,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,49,750,,,
2026-05-12 02:01:31,merge,array,int,random,5000,50,50,744,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,1,1603,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,2,1642,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,3,1607,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,4,1609,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,5,1602,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,6,1623,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,7,1610,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,8,1605,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,9,1604,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,10,1602,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,11,1604,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,12,1602,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,13,1601,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,14,1607,,,
2026-05-12 02:01:31,merge,array,int,random,10000,50,15,1608,,,
